Company,Type,OpSys,CPU,GPU,Ram,Weight,Touchscreen,ClockSpeed,HDD,SSD,PPI,Display,Price
Apple,Ultrabook,Mac,Inteli5,IntelIris,8,1.37,0,2.3,0.0,0.128,312.78195488721803,IPSRetina,71378.6832
Apple,Ultrabook,Mac,Inteli5,IntelHD,8,1.34,0,1.8,0.0,0.0,175.93984962406014,NonIPS,47895.5232
HP,Notebook,Others,Inteli5,IntelHD,8,1.86,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,30636.0
Apple,Ultrabook,Mac,Inteli7,AMDRadeon,16,1.83,0,2.7,0.0,0.512,303.8961038961039,IPSRetina,135195.33599999998
Apple,Ultrabook,Mac,Inteli5,IntelIris,8,1.37,0,3.1,0.0,0.256,312.78195488721803,IPSRetina,96095.808
Acer,Notebook,Windows,AmdA,AMDRadeon,4,2.1,0,3.0,0.5,0.0,136.7948717948718,NonIPS,21312.0
Apple,Ultrabook,Mac,Inteli7,IntelIris,16,2.04,0,2.2,0.0,0.0,303.8961038961039,IPSRetina,114017.6016
Apple,Ultrabook,Mac,Inteli5,IntelHD,8,1.34,0,1.8,0.0,0.0,175.93984962406014,NonIPS,61735.536
Asus,Ultrabook,Windows,Inteli7,NvidiaGeForce,16,1.3,0,1.8,0.0,0.512,214.28571428571428,NonIPSFullHD,79653.59999999999
Acer,Ultrabook,Windows,Inteli5,IntelHD,8,1.6,0,1.6,0.0,0.256,214.28571428571428,IPSFullHD,41025.6
HP,Notebook,Others,Inteli5,IntelHD,4,1.86,0,2.5,0.5,0.0,136.7948717948718,NonIPS,20986.992
HP,Notebook,Others,Inteli3,IntelHD,4,1.86,0,2.0,0.5,0.0,192.30769230769232,NonIPSFullHD,18381.0672
Apple,Ultrabook,Mac,Inteli7,AMDRadeon,16,1.83,0,2.8,0.0,0.256,303.8961038961039,IPSRetina,130001.6016
Dell,Notebook,Windows,Inteli3,AMDRadeon,4,2.2,0,2.0,0.0,0.256,192.30769230769232,NonIPSFullHD,26581.392
Apple,Ultrabook,Mac,IntelM,IntelHD,8,0.92,0,1.2,0.0,0.256,312.0,IPSRetina,67260.672
Apple,Ultrabook,Mac,Inteli5,IntelIris,8,1.37,0,2.3,0.0,0.256,312.78195488721803,IPSRetina,80908.344
Dell,Notebook,Windows,Inteli7,AMDRadeon,8,2.2,0,2.7,0.0,0.256,192.30769230769232,NonIPSFullHD,39693.6
Apple,Ultrabook,Mac,Inteli7,AMDRadeon,16,1.83,0,2.9,0.0,0.512,303.8961038961039,IPSRetina,152274.24
Lenovo,Notebook,Others,Inteli3,NvidiaGeForce,8,2.2,0,2.4,1.024,0.0,192.30769230769232,NonIPSFullHD,26586.72
Dell,Ultrabook,Windows,Inteli5,IntelHD,8,1.22,1,1.6,0.0,0.128,225.56390977443607,IPSFullHD,52161.12
Asus,Netbook,Windows,IntelAtom,IntelHD,2,0.98,0,1.44,0.0,0.0,183.9655172413793,NonIPS,10224.432
Lenovo,Gaming,Windows,Inteli5,NvidiaGeForce,8,2.5,0,2.5,1.024,0.128,192.30769230769232,IPSFullHD,53226.72
HP,Notebook,Others,AmdE,AMDRadeon,4,1.86,0,1.5,0.5,0.0,136.7948717948718,NonIPS,13746.24
Dell,2 in 1 Convertible,Windows,Inteli5,IntelHD,8,1.62,1,1.6,0.0,0.256,225.56390977443607,NonIPSFullHD,43636.32
HP,Ultrabook,Windows,Inteli7,IntelHD,8,1.91,0,1.8,0.0,0.256,192.30769230769232,NonIPSFullHD,35111.52
Dell,Notebook,Windows,Inteli3,IntelHD,4,2.3,0,2.0,1.024,0.0,136.7948717948718,NonIPS,22305.1392
Apple,Ultrabook,Mac,Inteli5,IntelHD,8,1.35,0,1.6,0.0,0.0,175.93984962406014,NonIPS,58554.72
Dell,Notebook,Windows,Inteli5,AMDRadeon,8,2.2,0,1.6,0.0,0.256,192.30769230769232,NonIPSFullHD,42624.0
Dell,Ultrabook,Windows,Inteli7,IntelHD,8,1.88,0,1.9,0.0,0.512,192.30769230769232,NonIPSFullHD,69157.44
HP,Notebook,Windows,Inteli5,NvidiaGeForce,8,2.5,0,1.6,1.024,0.0,173.41040462427745,NonIPSFullHD,47738.88
others,Notebook,Windows,IntelAtom,IntelHD,4,1.89,0,1.44,0.0,0.0,192.30769230769232,NonIPSFullHD,13053.0672
Asus,Notebook,Windows,AmdE,AMDRadeon,2,1.65,0,1.5,0.0,0.0,152.42857142857142,NonIPS,10602.72
HP,Notebook,Windows,AmdA,AMDRadeon,4,2.71,0,2.5,0.5,0.0,173.41040462427745,NonIPSFullHD,23389.92
Dell,Ultrabook,Windows,Inteli7,IntelHD,16,1.2,1,1.8,0.0,0.512,375.9398496240601,NonIPSQuadHD+,99580.32
Apple,Ultrabook,Mac,Inteli5,IntelHD,8,1.35,0,1.6,0.0,0.0,175.93984962406014,NonIPS,53173.44
Lenovo,Notebook,Windows,IntelCeleron,IntelHD,4,1.44,0,1.1,0.0,0.0,152.42857142857142,NonIPS,13266.72
Acer,Notebook,Linux,Inteli3,IntelHD,4,2.1,0,2.7,1.024,0.0,136.7948717948718,NonIPS,19553.76
Dell,Notebook,Windows,Inteli5,AMDRadeon,8,2.8,0,1.6,1.024,0.128,173.41040462427745,IPSFullHD,52161.12
HP,Notebook,Windows,Inteli5,IntelHD,4,1.86,0,2.5,1.024,0.0,136.7948717948718,NonIPS,26037.4032
HP,Notebook,Windows,Inteli5,NvidiaGeForce,8,2.1,0,1.6,0.0,0.256,192.30769230769232,NonIPSFullHD,46833.12
Asus,Notebook,Linux,Inteli3,IntelHD,4,2.0,0,2.0,1.024,0.0,192.30769230769232,NonIPSFullHD,20725.92
Dell,Gaming,Windows,Inteli7,NvidiaGeForce,16,2.65,0,2.8,1.024,0.256,192.30769230769232,IPSFullHD,79866.72
Asus,Notebook,Linux,Inteli5,NvidiaGeForce,8,2.3,0,2.5,1.024,0.0,136.7948717948718,NonIPS,27864.9072
Acer,Notebook,Windows,Inteli5,IntelHD,4,2.2,0,1.6,0.0,0.256,192.30769230769232,IPSFullHD,36336.96
Dell,2 in 1 Convertible,Windows,Inteli5,NvidiaGeForce,12,2.77,1,1.6,1.024,0.0,173.41040462427745,NonIPSFullHD,53226.72
Apple,Ultrabook,Mac,Inteli5,IntelIris,8,1.37,0,2.0,0.0,0.256,312.78195488721803,IPSRetina,75604.31999999999
Lenovo,Notebook,Others,Inteli3,IntelHD,4,2.2,0,2.0,0.0,0.128,136.7948717948718,NonIPS,19660.32
Asus,Gaming,Windows,AmdRyzen,AMDRadeon,8,3.2,0,3.0,1.024,0.256,173.41040462427745,NonIPSFullHD,69210.72
Dell,Notebook,Windows,Inteli5,AMDRadeon,4,2.3,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,34045.92
Asus,Notebook,Windows,IntelPentium,NvidiaGeForce,4,2.8,0,1.1,1.024,0.0,123.35260115606935,NonIPS,24828.48
Acer,Notebook,Windows,Inteli7,NvidiaGeForce,8,2.2,0,1.8,0.0,0.256,192.30769230769232,IPSFullHD,44808.48
HP,Notebook,Windows,AmdA,AMDRadeon,4,1.86,0,2.5,0.0,0.256,192.30769230769232,NonIPSFullHD,21231.5472
HP,Notebook,Windows,Inteli7,IntelHD,8,1.49,0,1.8,0.0,0.512,225.56390977443607,NonIPSFullHD,58767.84
Acer,Notebook,Windows,Inteli3,IntelHD,4,2.4,0,2.4,1.024,0.0,136.7948717948718,NonIPS,20459.52
Dell,Notebook,Windows,Inteli7,AMDRadeon,8,2.13,0,1.8,0.0,0.256,192.30769230769232,NonIPSFullHD,40908.384
HP,Notebook,Windows,Inteli3,IntelHD,4,1.91,0,2.0,0.0,0.128,192.30769230769232,NonIPSFullHD,23389.92
